Date,Description,Amount,Currency,Status
29-06-2020,ZOOM Zoom SAN JOSE  117.68 USD  30 Jun STORE NAME: PO #: P-30097154 ,117.68,USD,Non-Duplicate
30-06-2020,PLURALSIGHT FARMINGTON  31.03 USD  01 Jul ,31.03,USD,Non-Duplicate
30-06-2020,ZEPLIN INC. SAN FRANCISCO  29.00 USD  30 Jun ,29,USD,Non-Duplicate
01-07-2020,PUSHY*PUSHY PRO Sheridan  17.59 USD  01 Jul ,17.59,USD,Non-Duplicate
02-07-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  72.03 USD  02 Jul ,72.03,USD,Non-Duplicate
04-07-2020,MIXPANEL INC. SAN FRANCISCO  150.00 USD  04 Jul ,150,USD,Non-Duplicate
05-07-2020,101DOMAIN 760-444-8674  56.99 USD  05 Jul ,56.99,USD,Non-Duplicate
07-07-2020,ELASTIC CLOUD ASKER  832.41 USD  07 Jul ,832.41,USD,Non-Duplicate
07-07-2020,FIGMA MONTHLY RENEWAL SAN FRANCISCO  75.00 USD  07 Jul ,75,USD,Non-Duplicate
09-07-2020,FRESHWORKS INC SAN BRUNO  116.00 USD  10 Jul ,116,USD,Non-Duplicate
10-07-2020,RUSTICI SOFTWARE-SCORM FRANKLIN  1060.65 USD  10 Jul ITEM PURCHASED: BUSINESS SERVICES QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,1060.65,USD,Non-Duplicate
11-07-2020,FRESHWORKS INC SAN BRUNO  45.00 USD  11 Jul ,45,USD,Non-Duplicate
12-07-2020,BROWSERSTACK.COM LEWES  39.00 USD  12 Jul ,39,USD,Non-Duplicate
13-07-2020,APPLE.COM/US CUPERTINO  299.00 USD  14 Jul STORE NAME: PO #: 7204001077 ,299,USD,Non-Duplicate
13-07-2020,LINKEDIN SINGAPORE  14 Jul ,75000,INR,Non-Duplicate
15-07-2020,Atlassian San Francisco  484.30 USD  15 Jul STORE NAME: Online Software Provider PO #: ITEM PURCHASED: AT-106484287 QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,484.3,USD,Non-Duplicate
15-07-2020,CALLHIPPO.COM - TELEPH NEWARK  8.00 USD  15 Jul ,8,USD,Non-Duplicate
16-07-2020,INT*QUICKBOOKS ONLINE 800-446-8848  42.64 USD  16 Jul STORE NAME: PO #: IGS_110621362111 ,42.64,USD,Non-Duplicate
19-07-2020,SENTRY SAN FRANCISCO  80.00 USD  20 Jul ,80,USD,Non-Duplicate
19-07-2020,TYPEFORM S.L BARCELONA  70.00 USD  20 Jul ,70,USD,Non-Duplicate
20-07-2020,STOPLIGHT.IO AUSTIN  87.00 USD  20 Jul ,87,USD,Non-Duplicate
02-06-2020,ZEPLIN INC. SAN FRANCISCO  29.00 USD  03 Jun ,29,USD,Non-Duplicate
03-06-2020,84codes*cloudamqp.com Stockholm  99.00 USD  03 Jun ,99,USD,Non-Duplicate
03-06-2020,GRAMMARLY CO*ERPVHYP SAN FANCISCO  29.95 USD  03 Jun ,29.95,USD,Non-Duplicate
03-06-2020,PLURALSIGHT FARMINGTON  30.02 USD  04 Jun ,30.02,USD,Non-Duplicate
03-06-2020,PUSHY*PUSHY PRO Sheridan  18.61 USD  03 Jun ,18.61,USD,Non-Duplicate
03-06-2020,charge.elastic.co Elasticsearch  838.02 USD  03 Jun ,838.02,USD,Non-Duplicate
04-06-2020,LINKEDIN SG - ONLINE - SINGAPORE  05 Jun LINKEDIN-5624790414 lnkd.in/bill ,10129.32,INR,Non-Duplicate
04-06-2020,Quickbooks Online London  103.88 MYR  05 Jun ,103.88,MYR,Non-Duplicate
10-06-2020,FIGMA MONTHLY RENEWAL SAN FRANCISCO  75.00 USD  11 Jun ,75,USD,Non-Duplicate
10-06-2020,FRESHWORKS INC SAN BRUNO  116.00 USD  11 Jun ,116,USD,Non-Duplicate
10-06-2020,MIXPANEL INC. SAN FRANCISCO  150.00 USD  11 Jun ,150,USD,Non-Duplicate
10-06-2020,RUSTICI SOFTWARE-SCORM FRANKLIN  2261.52 USD  10 Jun ITEM PURCHASED: BUSINESS SERVICES QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,2261.52,USD,Non-Duplicate
11-06-2020,BROWSERSTACK.COM LEWES  39.00 USD  12 Jun ,39,USD,Non-Duplicate
11-06-2020,FRESHWORKS INC SAN BRUNO  45.00 USD  11 Jun ,45,USD,Non-Duplicate
15-06-2020,Atlassian San Francisco  502.90 USD  15 Jun ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 STORE NAME: Online Software Provider PO #: ITEM PURCHASED: AT-103845153 QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ITEM PURCHASED: QUANTITY:000 AMOUNT: .00 ,502.9,USD,Non-Duplicate
15-06-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  1004.41 USD  15 Jun ,1004.41,USD,Non-Duplicate
15-06-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  107.70 USD  15 Jun ,107.7,USD,Non-Duplicate
16-06-2020,POLL EVERYWHERE INC SAN FRANCISCO  120.00 USD  16 Jun OTHER SERVICES ,120,USD,Non-Duplicate
17-06-2020,ZOOM Zoom SAN JOSE  109.89 USD  18 Jun STORE NAME: PO #: P-27784152 ,109.89,USD,Non-Duplicate
18-06-2020,CALLHIPPO.COM - TELEPH NEWARK  8.00 USD  18 Jun ,8,USD,Non-Duplicate
18-06-2020,STOPLIGHT.IO AUSTIN  87.00 USD  18 Jun ,87,USD,Non-Duplicate
18-06-2020,TYPEFORM S.L BARCELONA  70.00 USD  18 Jun ,70,USD,Non-Duplicate
19-06-2020,SENTRY SAN FRANCISCO  80.00 USD  20 Jun ,80,USD,Non-Duplicate
21-06-2020,PRIVATEINTERNETACCESS GREENWOOD VILLA  39.95 USD  22 Jun ,39.95,USD,Non-Duplicate
23-06-2020,Quickbooks Online London  31.16 MYR  24 Jun ,31.16,MYR,Non-Duplicate
23-06-2020,SLACK T029DU286 DUBLIN  1377.17 USD  23 Jun ,1377.17,USD,Non-Duplicate
24-06-2020,POSTMARK EMAIL CREDITS PHILADELPHIA  75.00 USD  25 Jun ,75,USD,Non-Duplicate
27-06-2020,GRAMMARLY CO*ZDCZJTB SAN FANCISCO  29.95 USD  27 Jun ,29.95,USD,Non-Duplicate
29-06-2020,MONGODBCLOUD KNOLSKAPE DUBLIN  1003.99 USD  29 Jun ,1003.99,USD,Non-Duplicate
